address,area,city,lat,lng,name,province
九龙口镇九龙大道蒋营初级中学斜对面,建湖县,盐城市,119.656475,33.409267,绿源电动车(九龙口专卖店),江苏省
女贞路与永平路交叉口西150米,宿豫区,宿迁市,118.519757,33.944379,绿源电动车(关庙专卖),江苏省
振兴路与226省道交叉口东南50米,射阳县,盐城市,120.237279,33.878060,绿源电动车(千秋店),江苏省
东板桥南路与336省道交叉口西南150米,如皋市,南通市,120.526494,32.138745,绿源电动车(石庄店),江苏省
孤山镇孤山中路84号,靖江市,泰州市,120.305925,32.063332,绿源电动车(孤山专卖店),江苏省
镇北大道与304县道交叉口西100米,六合区,南京市,118.949175,32.374802,绿源电动车(中共新篁镇委员会东),江苏省
海河镇建业路阜余初级中学西350米,射阳县,盐城市,120.015490,33.817758,绿源电动车(阜余店),江苏省
沿河中路与沿河西路交叉口东北50米,建湖县,盐城市,119.772509,33.368890,绿源电动车(沿河店),江苏省
无,射阳县,盐城市,120.391841,33.609188,绿源电动车(洋马店),江苏省
寅阳镇朝阳河路鑫健大楼东南400米,启东市,南通市,121.848111,31.732457,绿源电动车(江夏村专卖店),江苏省
桃园南路与104县道交叉口东南100米,泗洪县,宿迁市,118.122140,33.338030,绿源电动车(魏营店),江苏省
淮海农场六垛老街区,射阳县,盐城市,120.255387,34.077776,绿源电动车(六垛店),江苏省
中华中路与花园路交叉口西南50米,海门市,南通市,121.244211,31.892603,绿源电动车(三厂店),江苏省
229省道与307县道交叉口西北200米,泰兴市,泰州市,120.265719,32.204363,绿源电动车(横巷专卖店),江苏省
楚洲大道137-25,淮安区,淮安市,119.155823,33.504190,绿源电动车(宝华综合楼北),江苏省
大关路与射河北路交叉口西北50米,阜宁县,盐城市,119.803138,33.776029,绿源电动车(大关路店),江苏省
耦四线与226省道交叉口北200米,射阳县,盐城市,120.226652,33.823906,绿源电动车(耦耕店),江苏省
中央大街114,宿豫区,宿迁市,118.499444,33.899415,绿源电动车(大兴店),江苏省
新通掘公路与027县道交叉口南200米,通州区,南通市,121.102563,32.111595,绿源电动车(光和店),江苏省
朱塘路小陆车行旁,邗江区,扬州市,119.405741,32.444126,绿源电动车(平山店),江苏省
厚朴中路与育李路交叉口东北50米,射阳县,盐城市,120.349221,33.580312,绿源电动车(洋马店),江苏省
高作交通路与人民路交叉口111号,建湖县,盐城市,119.779214,33.552809,绿源电动车(高作店),江苏省
楚州大道149号(宝华综合楼北),淮安区,淮安市,119.155528,33.506541,绿源电动车(环城村西南),江苏省
俞垛镇文昌路叶甸中心小学南100米,姜堰区,泰州市,119.974120,32.646142,绿源电动车(叶甸专卖店),江苏省
建冈西路63,建湖县,盐城市,119.913800,33.547623,绿源电动车(冈西店),江苏省
合陈镇合塔集镇华联超市旁,兴化市,泰州市,120.270311,33.012918,绿源电动车(合陈专卖店),江苏省
烟墨路与白龙路交叉口北50米,姜堰区,泰州市,120.223622,32.554140,绿源电动车(娄庄店),江苏省
336省道西50米,泰兴市,泰州市,120.043640,32.144281,绿源电动车(张桥专卖店),江苏省
府前街与海棠路交叉口西100米,铜山区,徐州市,117.262037,34.146539,绿源电动车(棠张店),江苏省
208县道东50米,高港区,泰州市,120.037750,32.306545,绿源电动车(汪群专卖店),江苏省
兴海路与复兴路交叉口东200米,启东市,南通市,121.696512,31.985153,绿源电动车(海复专卖店),江苏省
巴城镇景城南路12号,昆山市,苏州市,120.879120,31.450582,绿源电动车(巴城店),江苏省
人民路南50米,兴化市,泰州市,120.150518,32.868360,绿源电动车(陶庄专卖店),江苏省
特青线附近,射阳县,盐城市,120.250168,33.504404,绿源电动车(特庸店),江苏省
302县道东200米,响水县,盐城市,119.772477,34.231285,绿源电动车(南河店),江苏省
振兴路与中心路交叉口西,东海县,连云港市,118.762120,34.384556,绿源电动车(安峰店),江苏省
幸福街与扬冶路交叉口西北50米,邗江区,扬州市,119.333762,32.414556,绿源电动车(杨庙店),江苏省
中兴路与人民路交叉口东50米,姜堰区,泰州市,120.003876,32.579418,绿源电动车(淤溪旗舰店),江苏省
东惠线与大丰线交叉口西南150米,启东市,南通市,121.797624,31.820088,绿源电动车(大丰店),江苏省
同兴路与永兴路交叉口西南50米,启东市,南通市,121.659078,32.048735,绿源电动车(茅家港专卖店),江苏省
石堤三路与秦潭环城路交叉口东北50米,启东市,南通市,121.705275,32.031555,绿源电动车(秦潭专营店),江苏省
向阳南路与新桥中路交汇处西北50米,靖江市,泰州市,120.076020,32.001545,绿源电动车(新桥专卖店),江苏省
双柳河路与鹂岛路交叉口北100米,栖霞区,南京市,118.800792,32.179156,绿源电动车(南京八卦洲店),江苏省
老张集乡政府西北450米,淮阴区,淮安市,119.066406,33.798298,绿源电动车(老张集专卖店),江苏省
工农路36-2号,靖江市,泰州市,120.271995,32.004684,绿源电动车(工农路),江苏省
句石线与001乡道交叉口西南100米,句容市,镇江市,119.281041,31.907781,绿源电动车(春城店),江苏省
黄海中路与黄海北路交叉口西50米,东台市,盐城市,120.682868,32.768658,绿源电动车(三仓店),江苏省
龙舌路中国邮政储蓄银行东北50米,如皋市,南通市,120.709487,32.174706,绿源电动车(龙舌店),江苏省
金福来宾馆西100米(双园路南),姜堰区,泰州市,120.171606,32.366404,绿源电动车(顾高专卖店),江苏省
千灯镇黄浦江路761-763号,昆山市,苏州市,121.016716,31.248102,绿源电动车(千灯店),江苏省
送桥镇郭集路中国邮政西200米,高邮市,扬州市,119.333916,32.697475,绿源电动车(郭集专卖店),江苏省
镇前新村30组58号,泰兴市,泰州市,120.321845,32.170818,绿源电动车(镇前新村店),江苏省
336省道北50米,靖江市,泰州市,120.227397,32.033633,绿源电动车(马桥分店),江苏省
思岳路与树人路交叉口东北50米,靖江市,泰州市,120.167507,32.034539,绿源电动车(生祠分店),江苏省
后茅路与振兴路交叉口西北100米,句容市,镇江市,119.189300,31.804723,绿源电动车(后白店),江苏省
兔中路与122省道交叉口东北50米,句容市,镇江市,119.361948,31.976818,绿源电动车(白兔店),江苏省
青沙线南50米,赣榆区,连云港市,119.014459,34.786838,绿源电动车(殷庄专卖店),江苏省
四总路与221省道交叉口东50米,如东县,南通市,121.121032,32.468483,绿源电动车(四总路店),江苏省
后标营27号,秦淮区,南京市,118.821443,32.031576,绿源电动车(后标营路),江苏省
大桥南路与府前西路交叉口西北150米,东台市,盐城市,120.533417,32.781463,绿源电动车(南沈灶店),江苏省
人和路168号附近,兴化市,泰州市,119.890127,32.711566,绿源电动车(周庄专卖店),江苏省
东和线与和合路交叉口东北50米,启东市,南通市,121.811211,31.738613,绿源电动车(直营店),江苏省
南唐路与金牛路交叉口东100米,宝应县,扬州市,119.339836,33.173874,绿源电动车(沿河店),江苏省
沙河镇今世缘网吧对面,赣榆区,连云港市,118.950720,34.730004,绿源电动车(沙河店),江苏省
横泾镇木东路7517号,吴中区,苏州市,120.533341,31.178214,绿源电动车(横泾店),江苏省
临兴路与安乐寺路交叉口西100米,高邮市,扬州市,119.614944,33.037483,绿源电动车(临泽店),江苏省
海陵北路西50米,海陵区,泰州市,119.914894,32.535614,绿源电动车(朱庄专卖店),江苏省
东园路398,宝应县,扬州市,119.407161,33.096806,绿源电动车(范水店),江苏省
新城镇丁冲路与202县道交叉口北150米,仪征市,扬州市,119.241782,32.338561,绿源电动车(龙河镇专卖店),江苏省
兴盛路293号,射阳县,盐城市,120.243936,33.987156,绿源电动车(兴盛街店),江苏省
项侯路4号附近,宝应县,扬州市,119.620164,33.303980,绿源电动车(射阳镇店),江苏省
中国邮政西南100米(015乡道),江都区,扬州市,119.747468,32.555995,绿源电动车(麾村专卖店),江苏省
海阳北路160号,如皋市,南通市,120.563323,32.403827,绿源电动车(如皋店),江苏省
建阳镇县道Z01,建湖县,盐城市,119.743864,33.494849,绿源电动车(建阳店),江苏省
望亭路与港城路交叉口西南100米,宝应县,扬州市,119.391108,33.237688,绿源电动车(望直港店),江苏省
银都广场102,常熟市,苏州市,120.872921,31.708117,绿源电动车(梅李店),江苏省
黄桥镇溪桥小学对面,泰兴市,泰州市,120.195959,32.223508,绿源电动车(溪桥专卖店),江苏省
文曲路南50米,宝应县,扬州市,119.569881,33.337268,绿源电动车(文曲路店),江苏省
元庄路与023乡道交叉口东南100米,丹徒区,镇江市,119.391972,32.012741,绿源电动车(镇江上会专卖店),江苏省
镇黄龙路亿客隆购物广场西南侧60米,丹徒区,镇江市,119.620839,32.095890,绿源电动车(黄墟镇专卖店),江苏省
陆家南粮路12号,昆山市,苏州市,121.039227,31.314505,绿源电动车(陆家店),江苏省
宝利商业步行街与宝利商业街交叉口东北50米,海州区,连云港市,119.137511,34.576807,绿源电动车(海州区店),江苏省
李典镇新坝镇新兴路2-4号,广陵区,扬州市,119.613596,32.272572,绿源电动车(新兴路店),江苏省
张郭镇同济路20号,兴化市,泰州市,120.169796,32.745471,绿源电动车(张郭专卖店),江苏省
桃源南路20号,泗阳县,宿迁市,118.687653,33.704156,绿源电动车(桃源南路),江苏省
南阳镇近王线中国邮政东100米,启东市,南通市,121.687356,31.919643,绿源电动车(少直专卖店),江苏省
江宁街道铜井镇安民街4号菜鸟驿站,江宁区,南京市,118.552345,31.788710,绿源电动车(铜井店),江苏省
方巷黄珏镇浩达超市对面,邗江区,扬州市,119.408816,32.548024,绿源电动车(黄珏店),江苏省
安丰镇十字路口北50米,东台市,盐城市,120.406586,32.731574,绿源电动车(朝阳路),江苏省
汇龙镇惠丰镇惠丰街118号,启东市,南通市,121.618044,31.770899,绿源电动车(惠丰专卖店),江苏省
新平路与013县道交叉口东南100米,通州区,南通市,120.741573,32.102097,绿源电动车(平潮店),江苏省
来鹤路与鹤城中路交叉口东150米,启东市,南通市,121.603401,32.053001,绿源电动车(吕四店),江苏省
正阳路104号-2楼,江宁区,南京市,118.858833,31.772660,绿源电动车(禄口店),江苏省
扬冶线西50米,仪征市,扬州市,119.135203,32.420673,绿源电动车(谢集专卖店),江苏省
兴泰路与华罡线交叉口西北100米,姜堰区,泰州市,119.863752,32.600575,绿源电动车(华港专卖店),江苏省
包庄腾飞北路30-1号,海州区,连云港市,119.037970,34.585514,绿源电动车(包庄专卖店),江苏省
邻泰路与336省道交叉口东150米,江都区,扬州市,119.834280,32.336499,绿源电动车(江都杨桥专卖店),江苏省
X209与井根路交叉口东行110米路南,泰兴市,泰州市,120.018229,32.249110,绿源电动车(根思专卖店),江苏省
宝塍路135,宝应县,扬州市,119.378665,33.306910,绿源电动车(黄塍店),江苏省
建兴街29-1-2号,江宁区,南京市,118.837404,31.834213,绿源电动车(秣陵店),江苏省
X204富洋超市西北侧80米,通州区,南通市,121.118855,32.017042,绿源电动车(袁灶直营店),江苏省
燕江路56-51号,鼓楼区,南京市,118.762061,32.111305,绿源电动车(金陵店),江苏省
金山路与马瓜线交叉口西南50米亨通大厦,邗江区,扬州市,119.404609,32.288651,绿源电动车(亨通南路店),江苏省
通安镇华通路21号碧桂园往西18米,虎丘区,苏州市,120.460763,31.372140,绿源电动车(华通路店),江苏省
泾安西路118号(泾河镇镇政府对面),宝应县,扬州市,119.244659,33.342264,绿源电动车(泾河镇店),江苏省
步湖公路与民生路交叉口东北150米,盐都区,盐城市,120.148674,33.249519,绿源电动车(冈中专卖店),江苏省
红旗路与236省道交叉口西南100米,淮阴区,淮安市,119.033900,33.688578,绿源电动车(棉花庄店),江苏省
颜集镇颜邵线江苏沭阳农村商业银行旁,沭阳县,宿迁市,118.570003,34.151338,绿源电动车(颜集专卖店),江苏省
创业路1号,射阳县,盐城市,120.092780,33.650716,绿源电动车(新坍店),江苏省
天石路107号,六合区,南京市,118.936393,32.323218,绿源电动车(兴镇路店),江苏省
渡江南路九龙村2号,广陵区,扬州市,119.447829,32.358902,绿源电动车(汤汪镇店),江苏省
华王线亿海联华购物广场南侧70米,丰县,徐州市,116.521599,34.603040,绿源电动车(刘王楼专卖),江苏省
建设路同盛国际广场1层,邳州市,徐州市,117.961351,34.316598,绿源电动车(江苏邳州店),江苏省
新城镇新城西街(上海世纪华联斜对面),仪征市,扬州市,119.235085,32.285382,绿源电动车(仪征新城镇店),江苏省
308县道与329省道交叉口东100米,涟水县,淮安市,119.184546,33.706600,绿源电动车(保滩绿源旗舰店),江苏省
弘阳服饰百货1层,浦口区,南京市,118.724699,32.129138,绿源电动车(丽岛路),江苏省
永安北路51号,高港区,泰州市,119.921817,32.228938,绿源电动车(永安专卖店),江苏省
黄桥镇塔北路138号,泰兴市,泰州市,120.238963,32.245217,绿源电动车(黄桥专卖店),江苏省
许庄三星西路78号,高港区,泰州市,119.913295,32.350344,绿源电动车(许庄专卖店),江苏省
